Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation_2.started,cross_2.started,cross_2.stopped,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,end.started,endscreen.started,key_resp_end.started,end.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
corn,0,0,0,37,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,0.04852029999892693,0.04891739999948186,0.05945079999946756,0.05971010000030219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
deer,0,1,1,40,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.059827400000358466,0.05994660000033036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
snake,0,2,2,154,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06005379999987781,0.060147000000142725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
carrot,0,3,3,27,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.0602335999992647,0.060359999999491265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
turtle,0,4,4,165,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.060466699998869444,0.06057969999892521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
bear,0,5,5,12,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06070079999881273,0.06082989999958954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
pear,0,6,6,114,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06092199999875447,0.06103640000037558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
monkey,0,7,7,98,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06114220000017667,0.06124029999955383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
wrench,0,8,8,178,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06131929999901331,0.06143840000004275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
vest,0,9,9,168,,,,,,,,,,,,,,,,,,,,,0.11663810000027297,,,,0.06158460000006016,0.06172299999889219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-01-24_14h13.53.321,NESC3137_N400_exp,2023.2.3,59.993364734189534,2025-01-24 14h15.07.256747 -0400,
